13-October-2017,-3.3,-1
16-October-2017,-4.7,-1
17-October-2017,-4.65,-1
18-October-2017,38.2,1
19-October-2017,-6.35,-1
23-October-2017,26.95,1
24-October-2017,-12.35,-1
25-October-2017,-0.05,-1
26-October-2017,8.9,1
27-October-2017,-20.65,-1
30-October-2017,9.15,1
31-October-2017,-2.2,-1
1-November-2017,6.3,1
2-November-2017,-6.9,-1
3-November-2017,-7.7,-1
6-November-2017,-9.55,-1
7-November-2017,-27.8,-1
8-November-2017,-18.75,-1
9-November-2017,6.45,1
10-November-2017,-16.5,-1
13-November-2017,-8.35,-1
14-November-2017,11.2,1
15-November-2017,-3.6,-1
16-November-2017,19.95,1
17-November-2017,-7.9,-1
20-November-2017,8.85,1
21-November-2017,7.4,1
22-November-2017,-6.8,-1
23-November-2017,19.5,1
24-November-2017,1.5,1
27-November-2017,2.7,1
28-November-2017,-6.5,-1
29-November-2017,2.5,1
30-November-2017,-17.4,-1
1-December-2017,-15.15,-1
4-December-2017,-14.25,-1
5-December-2017,11.15,1
6-December-2017,13.7,1
7-December-2017,3.55,1
8-December-2017,-16.05,-1
11-December-2017,-4.9,-1
12-December-2017,1.55,1
13-December-2017,-5.75,-1
14-December-2017,0.55,1
15-December-2017,-9.3,-1
18-December-2017,2.4,1
19-December-2017,2.5,1
20-December-2017,-6.25,-1
21-December-2017,-6.95,-1
22-December-2017,2.5,1
26-December-2017,5,1
27-December-2017,-7.85,-1
28-December-2017,1.2,1
29-December-2017,-4.85,-1
1-January-2018,-10.45,-1
2-January-2018,-3.6,-1
3-January-2018,-8.1,-1
4-January-2018,1.25,1
5-January-2018,2.5,1
8-January-2018,4.35,1
9-January-2018,11.85,1
10-January-2018,-3.5,-1
11-January-2018,-4.55,-1
12-January-2018,4.75,1
15-January-2018,-2.6,-1
16-January-2018,-25.5,-1
17-January-2018,-0.35,-1
18-January-2018,-10.7,-1
19-January-2018,7.35,1
22-January-2018,22.7,1
23-January-2018,6.7,1
24-January-2018,-17.35,-1
25-January-2018,-5.45,-1
29-January-2018,-2.2,-1
30-January-2018,-14.75,-1
31-January-2018,11.15,1
1-February-2018,-20.3,-1
2-February-2018,-33,-1
5-February-2018,8.65,1
6-February-2018,12.75,1
7-February-2018,-6.55,-1
8-February-2018,7.25,1
9-February-2018,6,1
12-February-2018,13.6,1
14-February-2018,10.75,1
15-February-2018,-2,-1
16-February-2018,-15.65,-1
19-February-2018,5.55,1
20-February-2018,-8.6,-1
21-February-2018,1.35,1
22-February-2018,0.75,1
23-February-2018,9.8,1
26-February-2018,2.5,1
27-February-2018,10.95,1
28-February-2018,7.95,1
1-March-2018,-3.15,-1
5-March-2018,-20.3,-1
6-March-2018,-18.8,-1
7-March-2018,-17.05,-1
8-March-2018,11.9,1
9-March-2018,-2.95,-1
12-March-2018,10.45,1
13-March-2018,1.25,1
14-March-2018,2.05,1
15-March-2018,-16.45,-1
16-March-2018,-9.5,-1
19-March-2018,-8.5,-1
20-March-2018,-9.55,-1
21-March-2018,0.55,1
22-March-2018,10.8,1
23-March-2018,-0.55,-1
26-March-2018,8.2,1
27-March-2018,-5.1,-1
28-March-2018,-12.25,-1
2-April-2018,2.2,1
3-April-2018,8.8,1
4-April-2018,-10.4,-1
5-April-2018,4.2,1
6-April-2018,-0.15,-1
9-April-2018,3.1,1
10-April-2018,-1.55,-1
11-April-2018,8.95,1
12-April-2018,-2.45,-1
13-April-2018,7.7,1
16-April-2018,2.25,1
17-April-2018,5.45,1
18-April-2018,-8,-1
19-April-2018,3.05,1
20-April-2018,-10.95,-1
23-April-2018,7.85,1
24-April-2018,32.05,1
25-April-2018,-1.85,-1
26-April-2018,3.35,1
27-April-2018,6.5,1
30-April-2018,-21.6,-1
2-May-2018,4.2,1
3-May-2018,-14.4,-1
4-May-2018,-10.05,-1
7-May-2018,13.85,1
8-May-2018,-5.9,-1
9-May-2018,7.65,1
10-May-2018,3.6,1
11-May-2018,5.7,1
14-May-2018,-9.05,-1
15-May-2018,-0.65,-1
16-May-2018,-19.85,-1
17-May-2018,-14.75,-1
18-May-2018,-12.6,-1
21-May-2018,-0.05,-1
22-May-2018,-6.1,-1
23-May-2018,-14.75,-1
24-May-2018,-0.65,-1
25-May-2018,3.7,1
28-May-2018,-2.55,-1
29-May-2018,-3.05,-1
30-May-2018,3.35,1
31-May-2018,1.95,1
1-June-2018,7.9,1
4-June-2018,4.55,1
5-June-2018,6.6,1
6-June-2018,4.5,1
7-June-2018,16.4,1
8-June-2018,14.5,1
11-June-2018,-1.9,-1
12-June-2018,13.2,1
13-June-2018,3.1,1
14-June-2018,11.3,1
15-June-2018,6.35,1
18-June-2018,4.2,1
19-June-2018,-19.35,-1
20-June-2018,23.45,1
21-June-2018,9.35,1
22-June-2018,-17.7,-1
25-June-2018,-13.45,-1
26-June-2018,-24.9,-1
27-June-2018,-14.7,-1
28-June-2018,-20.35,-1
29-June-2018,20.95,1
2-July-2018,-11.95,-1
3-July-2018,7.6,1
4-July-2018,15.25,1
5-July-2018,-33.7,-1
6-July-2018,10.6,1
9-July-2018,10.15,1
10-July-2018,24.25,1
11-July-2018,11.35,1
12-July-2018,39.05,1
13-July-2018,13.85,1
16-July-2018,-21.9,-1
17-July-2018,12.7,1
18-July-2018,-7.35,-1
19-July-2018,8.9,1
20-July-2018,18.05,1
23-July-2018,-9.55,-1
24-July-2018,-11.45,-1
25-July-2018,1.8,1
26-July-2018,-2.65,-1
27-July-2018,12.4,1
30-July-2018,13.7,1
31-July-2018,35.85,1
1-August-2018,-3.85,-1
2-August-2018,-24,-1
3-August-2018,1.75,1
6-August-2018,11.5,1
7-August-2018,-12.45,-1
8-August-2018,28.85,1
9-August-2018,-2.05,-1
10-August-2018,-11,-1
13-August-2018,-15.85,-1
14-August-2018,23.75,1
16-August-2018,-6.2,-1
17-August-2018,-2.55,-1
20-August-2018,28.4,1
21-August-2018,10.5,1
23-August-2018,25.7,1
24-August-2018,13.05,1
27-August-2018,11.55,1
28-August-2018,19.45,1
29-August-2018,-24.55,-1
30-August-2018,-25.9,-1
31-August-2018,-32.85,-1
3-September-2018,-18.6,-1
4-September-2018,7.35,1
5-September-2018,-19.2,-1
6-September-2018,30.15,1
7-September-2018,9.05,1
10-September-2018,-17.85,-1
11-September-2018,-21.55,-1
12-September-2018,8.25,1
14-September-2018,-8.2,-1
17-September-2018,-25.65,-1
18-September-2018,-6.8,-1
19-September-2018,-14.7,-1
21-September-2018,-3.2,-1
24-September-2018,16.3,1
25-September-2018,-2.7,-1
26-September-2018,16.55,1
27-September-2018,-6.9,-1
28-September-2018,-1.8,-1
1-October-2018,-26.65,-1
3-October-2018,-27.8,-1
4-October-2018,-78.45,-1
5-October-2018,-52.75,-1
8-October-2018,59.1,1
9-October-2018,-30.7,-1
10-October-2018,7.35,1
11-October-2018,21.4,1
12-October-2018,23.9,1
15-October-2018,6.5,1
16-October-2018,17.5,1
17-October-2018,-31.1,-1
19-October-2018,-2.25,-1
22-October-2018,-48.55,-1
23-October-2018,-0.4,-1
24-October-2018,-27.4,-1
25-October-2018,-5.8,-1
26-October-2018,4.7,1
29-October-2018,40.3,1
30-October-2018,-30.3,-1
31-October-2018,-3.3,-1
1-November-2018,-9.5,-1
2-November-2018,6.45,1
5-November-2018,14.55,1
6-November-2018,9.15,1
7-November-2018,-6.25,-1
9-November-2018,-12.65,-1
12-November-2018,-19.75,-1
13-November-2018,23.65,1
14-November-2018,-8.9,-1
15-November-2018,0.9,1
16-November-2018,31.4,1
19-November-2018,17.6,1
20-November-2018,-7.35,-1
21-November-2018,-24.7,-1
22-November-2018,-11.85,-1
26-November-2018,-0.35,-1
27-November-2018,18,1
28-November-2018,13.95,1
29-November-2018,11,1
30-November-2018,-3.8,-1
3-December-2018,-15.75,-1
4-December-2018,-5.45,-1
5-December-2018,10.15,1
6-December-2018,-24.05,-1
7-December-2018,0.45,1
10-December-2018,-24.15,-1
11-December-2018,30.1,1
12-December-2018,10.5,1
13-December-2018,-18.8,-1
14-December-2018,7.85,1
17-December-2018,15.9,1
18-December-2018,14.45,1
19-December-2018,-1.55,-1
20-December-2018,3.25,1
21-December-2018,-29.95,-1
24-December-2018,-11.75,-1
26-December-2018,9.95,1
27-December-2018,15,1
28-December-2018,2.5,1
31-December-2018,-6.1,-1
